精神病: 精神疾病: 0.8217581510543823, 躁鬱症: 0.7924447655677795, 憂鬱症: 0.7893890142440796, 精神分裂症: 0.7801768183708191, 抑鬱症: 0.752808690071106, 精神分裂: 0.7438496351242065, 焦慮症: 0.7340764403343201, 患有: 0.7330015301704407, 癲癇病: 0.7248830795288086, 痴呆: 0.7211906909942627, 
動來動去: 上樓去: 0.7333078980445862, 伊犬: 0.7319498062133789, 被拉住: 0.7301040887832642, 欺近: 0.729560375213623, 丙才: 0.7269892692565918, 他拉著: 0.7207267880439758, 丁走: 0.7162942290306091, 拿紙: 0.713622510433197, 逼過來: 0.712348997592926, 船沉: 0.7113267183303833, 
欠揍: 俗辣: 0.739311695098877, 看三小: 0.7236249446868896, 龜兒子: 0.7220166921615601, 俗仔: 0.7198399305343628, 孬種: 0.7084072828292847, 肖耶: 0.7075313329696655, 破麻: 0.7047393918037415, 囂俳: 0.7019088268280029, 潑婦罵街: 0.7006321549415588, 瘋婆子: 0.7005890607833862, 
沒禮貌: 英愛: 0.8649646639823914, 李寶英: 0.6950892210006714, 崔真赫: 0.6799208521842957, 閔孝琳: 0.6794670224189758, 金南珠: 0.6760175228118896, 白珍熙: 0.6756071448326111, 金泰熙: 0.6755785942077637, 李珉廷: 0.6745776534080505, 金素妍: 0.674131453037262, 李多海: 0.6708659529685974, 
媽你個: 恰北北: 0.7556413412094116, 卒子: 0.7215169072151184, 屄: 0.7124832272529602, 幹幹: 0.7107530236244202, 幹娘: 0.7104143500328064, 賺吃查: 0.7093740701675415, 機八: 0.7081129550933838, 機歪: 0.7035472393035889, 操機: 0.701621413230896, 瘋查: 0.7010118961334229, 
吳春金: 曾倫: 0.8958128690719604, 曾茹: 0.8599531054496765, 李瓊妹: 0.7006063461303711, 阮茹: 0.6833823323249817, 阮徽政: 0.6630902290344238, 姚文雄: 0.6249703168869019, 柳銘德: 0.6238712668418884, 蔡尚富: 0.6218713521957397, 蔡晉隆: 0.6193132400512695, 蔡天祥: 0.6123201847076416, 
過分: 過份: 0.845798134803772, 膚淺: 0.7439077496528625, 實在太: 0.7351134419441223, 不負責任: 0.72855144739151, 可笑: 0.7162784337997437, 短視: 0.7053279876708984, 愚蠢: 0.6965926289558411, 死板: 0.695539653301239, 離譜: 0.6936032772064209, 從來不: 0.6916174292564392, 
留言板: 留言版: 0.8908413052558899, 討論區: 0.829449474811554, 聊天室: 0.7929502725601196, 轉貼: 0.7466318607330322, 噗浪: 0.7450789213180542, 留言: 0.7431584000587463, 討論版: 0.7332223653793335, 貼文: 0.7238577604293823, 版主: 0.7212347984313965, 臉書: 0.7211124300956726, 
老妖: 姥姥: 0.7745161056518555, 蜘蛛精: 0.7557386159896851, 樹妖: 0.7477976083755493, 二當家: 0.7458422183990479, 金角: 0.7416805028915405, 閻王: 0.7409110069274902, 牛魔王: 0.7359157800674438, 石破天: 0.7329707145690918, 黑風: 0.7311201095581055, 申公豹: 0.7305989861488342, 
老鴇: 鴇母: 0.8130847215652466, 麗春院: 0.804392397403717, 少奶奶: 0.8038202524185181, 丫環: 0.8019669055938721, 婢女: 0.7889034748077393, 掌櫃: 0.785798966884613, 怡紅院: 0.7854963541030884, 西門慶: 0.7832772731781006, 奶媽: 0.7801440954208374, 媒婆: 0.7799246311187744, 
靠爸: 丟人現眼: 0.7009113430976868, 查某: 0.6742842197418213, 惡質: 0.6720317602157593, 白癡: 0.6711001396179199, 骯髒鬼: 0.670526385307312, 白目: 0.6677346229553223, 死母: 0.6653490662574768, 孬種: 0.6625543832778931, 俗仔: 0.6530202031135559, 吃軟飯: 0.6524337530136108, 
幹雞: 支歪: 0.7787594795227051, 媽雞: 0.7740659713745117, 娘卡好: 0.7680288553237915, 瘋機: 0.7665709257125854, 破麻及: 0.7660330533981323, 娘咧機: 0.7567516565322876, 媽機: 0.7519767880439758, 代台語: 0.7506531476974487, 衛衛: 0.742301881313324, 破雞: 0.7338498830795288, 
豬八戒: 沙僧: 0.8607953786849976, 白骨精: 0.8234132528305054, 沙悟淨: 0.8204544186592102, 牛魔王: 0.8194924592971802, 鐵扇公主: 0.8181774616241455, 唐僧: 0.7853858470916748, 蜘蛛精: 0.7849268913269043, 紅孩兒: 0.7839053869247437, 唐三藏: 0.7783647775650024, 二郎神: 0.7740973830223083, 
瘋女人: 肖查: 0.8564932346343994, 破麻: 0.8372453451156616, 瘋查: 0.8278155326843262, 肖仔: 0.8134623169898987, 婊子: 0.8113953471183777, 龜兒子: 0.7946896553039551, 客兄: 0.7905745506286621, 瘋婆子: 0.7863053679466248, 以台語: 0.7858015298843384, 哭爸: 0.7821855545043945, 
帝國主義的走狗: 蔑稱: 0.5819960236549377, 東亞人: 0.5790744423866272, 支那人: 0.5700031518936157, 貶稱: 0.567520260810852, 斯里蘭卡人: 0.547467827796936, 西方人: 0.5461217761039734, 韓僑: 0.543361246585846, 裔則: 0.5412497520446777, 菲律賓人: 0.5407271981239319, 擴張主義: 0.5401754379272461, 
漢奸: 賣國賊: 0.8446648120880127, 賣國: 0.804279625415802, 誣衊: 0.7624242305755615, 匪諜: 0.7532180547714233, 共匪: 0.7363405227661133, 國賊: 0.7317755818367004, 通敵: 0.7270792722702026, 蘇修: 0.7259792685508728, 亂黨: 0.7232310771942139, 貪官: 0.7220916748046875, 
惡形惡狀: 叫嚷: 0.62086421251297, 惡勢力: 0.6117255687713623, 愚昧: 0.6097220182418823, 盲目: 0.6000875234603882, 偽善: 0.5961309671401978, 變本加厲: 0.5944828391075134, 愚弄: 0.5938600301742554, 惡行: 0.5932374000549316, 醜事: 0.5926657915115356, 胡亂: 0.5924773216247559, 
敗家子: 小白臉: 0.7372877597808838, 狐狸精: 0.7096324563026428, 嫁不出去: 0.7087129354476929, 愛錢: 0.7054636478424072, 賤貨: 0.7026697397232056, 婊子: 0.7021195888519287, 沒出息: 0.7020758390426636, 查某: 0.7016953825950623, 吃軟飯: 0.698922872543335, 好吃懶做: 0.6982117891311646, 
頭腦簡單: 四肢發達: 0.8981707692146301, 膽小: 0.8522576093673706, 心地善良: 0.842639684677124, 好勝: 0.8400193452835083, 好強: 0.8340780735015869, 膽小怕事: 0.8337075710296631, 調皮: 0.8320315480232239, 傻氣: 0.8315000534057617, 沉默寡言: 0.829849362373352, 愛出風頭: 0.8269829750061035, 
好死: 不退: 0.6778014898300171, 享福: 0.6706470251083374, 羞: 0.6624607443809509, 旦夕: 0.6591546535491943, 俗言: 0.6586562395095825, 不暇: 0.657429575920105, 厭: 0.6523637771606445, 貪生: 0.6519230604171753, 釁: 0.6497802734375, 終不: 0.648277223110199, 
奸詐: 陰險: 0.8870236873626709, 狡猾: 0.8856276273727417, 狡詐: 0.8753159046173096, 貪財: 0.8354895710945129, 狠毒: 0.8140201568603516, 自私自利: 0.8121795654296875, 狂妄: 0.8114224672317505, 心狠手辣: 0.8106129169464111, 毒辣: 0.8099102973937988, 見利忘義: 0.7975038290023804, 
走後門: 關說: 0.6564894318580627, 以權謀私: 0.6430099010467529, 脫產: 0.5999032855033875, 投機取巧: 0.598922610282898, 裙帶關係: 0.5889484882354736, 包庇: 0.5868970155715942, 不負責任: 0.5843021869659424, 虧空公款: 0.5841802954673767, 糾舉: 0.5814293026924133, 利用職權: 0.5806425213813782, 
插: 腳踏: 0.5955983400344849, 掛在: 0.5900226831436157, 繫上: 0.5891086459159851, 彎著: 0.5856718420982361, 打上: 0.5770800113677979, 先以: 0.5731747150421143, 塞入: 0.5697293281555176, 水瓢: 0.5692849159240723, 手帕: 0.5690200924873352, 晾: 0.5685412883758545, 
是賤民: 首陀羅: 0.6848316192626953, 良妾: 0.6686058044433594, 根詞: 0.663658618927002, 輕賤: 0.660362958908081, 賤民: 0.65635746717453, 賤妾: 0.6474059820175171, 多妻: 0.6428027153015137, 指較: 0.6408941745758057, 貧下: 0.6401649117469788, 藍帽: 0.6379247903823853, 
不男不女: 愛哭: 0.7057203650474548, 瘋瘋癲癲: 0.6888786554336548, 大肚子: 0.6866635084152222, 多嘴: 0.6836910843849182, 花痴: 0.6797291040420532, 好吃懶做: 0.6787260174751282, 不修邊幅: 0.6743897199630737, 不知廉恥: 0.6730651259422302, 紅頭髮: 0.6705431342124939, 亂叫: 0.6701267957687378, 
壞鄰居: 與潔瑪: 0.6377991437911987, 賤鄰: 0.6119993329048157, 芬納奇: 0.5969175696372986, 葛里: 0.5910575985908508, 特飾: 0.5889527797698975, 明迪: 0.5800755023956299, mayron: 0.5746421217918396, 洛維茲: 0.5684782266616821, 漢農: 0.5616545677185059, 保格: 0.551078200340271, 
土包子: 狗蛋: 0.667534589767456, 爹: 0.6635303497314453, 吝嗇鬼: 0.6594011783599854, 老頭: 0.658594012260437, 死鬼: 0.6522072553634644, 老太婆: 0.6516948342323303, 屁孩: 0.6508915424346924, 大狗: 0.6437238454818726, 呆子: 0.6432258486747742, 阿聰: 0.6399638652801514, 
狐狸精: 女鬼: 0.7583799958229065, 至尊寶: 0.74614417552948, 妖女: 0.7396494746208191, 蕩婦: 0.7383915781974792, 黃鶯: 0.7340121269226074, 淫婦: 0.7335907220840454, 醜女: 0.7327510118484497, 巫婆: 0.7324337363243103, 苦命: 0.7319344878196716, 花心: 0.729880154132843, 
謊話連篇: humor: 0.6092987060546875, forgery: 0.6059951186180115, horrors: 0.603694498538971, cockroaches: 0.6034404635429382, krab: 0.5980441570281982, keyframe: 0.5978215932846069, vomiting: 0.5931996703147888, maximizing: 0.5931800603866577, classmate: 0.5904943943023682, ugandan: 0.5880913734436035, 
